vType,stat_name,count,min,max,median,mean,std
background,duration,189,22.0,143.0,48.0,61.142857142857146,30.947227898279635
background,routeLength,189,232.95,276.29,250.13,256.7064021164022,15.102951313501107
background,speed,189,1.72013986013986,10.855,5.2915217391304346,5.237027202730201,2.3053677847471508
background,stopTime,189,0.0,0.0,0.0,0.0,0.0
background,timeLoss,189,4.31,125.38,29.64,41.70010582010583,30.916435587027035
background,waitingCount,189,0.0,8.0,1.0,1.8571428571428572,1.5955342061116276
background,waitingTime,189,0.0,101.0,17.0,24.904761904761905,22.229477273744997
ego,duration,72,23.0,142.0,46.0,59.59722222222222,30.574435455050708
ego,routeLength,72,232.95,276.29,245.98,254.68055555555554,15.069706541499524
ego,speed,72,1.7767883211678832,12.012608695652174,5.409111111111111,5.267153458153208,2.185405789487018
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,3.79,123.35,27.59,40.27902777777777,30.36837404456056
ego,waitingCount,72,0.0,7.0,1.0,1.7777777777777777,1.5112745009706046
ego,waitingTime,72,0.0,89.0,15.0,23.90277777777778,21.077344157374174
rescue,duration,2,36.0,63.0,63.0,49.5,13.5
rescue,routeLength,2,245.48,267.15,267.15,256.315,10.834999999999994
rescue,speed,2,3.8965079365079363,7.4208333333333325,7.4208333333333325,5.658670634920634,1.7621626984126981
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,22.3,50.69,50.69,36.495,14.194999999999999
rescue,waitingCount,2,1.0,2.0,2.0,1.5,0.5
rescue,waitingTime,2,7.0,31.0,31.0,19.0,12.0
